year,label,size_per_topic,size_per_year,pct
1957,Catholic church and deterrence,1,2,50.0
1957,U.S. defense budgeting and policy-making,1,2,50.0
1958,U.S. defense budgeting and policy-making,1,1,100.0
1959,Catholic church and deterrence,2,2,100.0
1960,Catholic church and deterrence,1,6,16.67
1960,Nuclear deterrence,3,6,50.0
1960,Russian nuclear security policy,1,6,16.67
1960,U.S. and maintaining of the World order,1,6,16.67
1961,'Perestroika' Cold War security issues,1,7,14.29
1961,Catholic church and deterrence,3,7,42.86
1961,Nuclear deterrence,2,7,28.57
1961,U.S. defense budgeting and policy-making,1,7,14.29
1962,Catholic church and deterrence,4,5,80.0
1962,U.S. and maintaining of the World order,1,5,20.0
1963,'Perestroika' Cold War security issues,1,4,25.0
1963,Catholic church and deterrence,2,4,50.0
1963,Nuclear deterrence,1,4,25.0
1964,Catholic church and deterrence,2,3,66.67
1964,Nuclear deterrence,1,3,33.33
1965,'Perestroika' Cold War security issues,2,10,20.0
1965,Catholic church and deterrence,3,10,30.0
1965,MENA region security issues,1,10,10.0
1965,Nuclear deterrence,2,10,20.0
1965,U.S. and maintaining of the World order,1,10,10.0
1965,U.S. defense budgeting and policy-making,1,10,10.0
1966,Anti-Ballistic missile defense,1,5,20.0
1966,Catholic church and deterrence,2,5,40.0
1966,Nuclear deterrence,1,5,20.0
1966,U.S. and maintaining of the World order,1,5,20.0
1967,'Perestroika' Cold War security issues,1,3,33.33
1967,Catholic church and deterrence,2,3,66.67
1968,Catholic church and deterrence,3,4,75.0
1968,U.S. and maintaining of the World order,1,4,25.0
1969,Catholic church and deterrence,4,7,57.14
1969,Non-Proliferation,1,7,14.29
1969,Nuclear deterrence,1,7,14.29
1969,Russian nuclear security policy,1,7,14.29
1970,'Perestroika' Cold War security issues,1,4,25.0
1970,Asia-Pacific region security issues,1,4,25.0
1970,Catholic church and deterrence,1,4,25.0
1970,U.S. defense budgeting and policy-making,1,4,25.0
1971,'Perestroika' Cold War security issues,1,9,11.11
1971,Catholic church and deterrence,5,9,55.56
1971,U.S. and maintaining of the World order,3,9,33.33
1972,'Perestroika' Cold War security issues,1,4,25.0
1972,Catholic church and deterrence,2,4,50.0
1972,U.S. and maintaining of the World order,1,4,25.0
1973,Catholic church and deterrence,1,6,16.67
1973,Nuclear deterrence,1,6,16.67
1973,U.S. and maintaining of the World order,1,6,16.67
1973,U.S. defense budgeting and policy-making,1,6,16.67
1973,Unidentifiable,2,6,33.33
1974,Catholic church and deterrence,4,4,100.0
1975,Catholic church and deterrence,2,3,66.67
1975,U.S. and maintaining of the World order,1,3,33.33
1976,Catholic church and deterrence,3,5,60.0
1976,MENA region security issues,1,5,20.0
1976,Nuclear deterrence,1,5,20.0
1977,'Perestroika' Cold War security issues,1,7,14.29
1977,Asia-Pacific region security issues,1,7,14.29
1977,Catholic church and deterrence,3,7,42.86
1977,Nuclear deterrence,1,7,14.29
1977,U.S. and maintaining of the World order,1,7,14.29
1978,'Perestroika' Cold War security issues,1,11,9.09
1978,Anti-Ballistic missile defense,1,11,9.09
1978,Asia-Pacific region security issues,2,11,18.18
1978,Catholic church and deterrence,4,11,36.36
1978,India's nuclear security policy,1,11,9.09
1978,U.S. and maintaining of the World order,1,11,9.09
1978,U.S. defense budgeting and policy-making,1,11,9.09
1979,'Perestroika' Cold War security issues,1,5,20.0
1979,Anti-Ballistic missile defense,1,5,20.0
1979,Catholic church and deterrence,1,5,20.0
1979,Nuclear deterrence,2,5,40.0
1980,'Perestroika' Cold War security issues,3,31,9.68
1980,Anti-Ballistic missile defense,8,31,25.81
1980,British nuclear security policy,1,31,3.23
1980,Catholic church and deterrence,2,31,6.45
1980,MENA region security issues,1,31,3.23
1980,Nuclear deterrence,8,31,25.81
1980,Transatlantic cooperation and NATO-Russia rivalry in Europe,2,31,6.45
1980,U.S. and maintaining of the World order,2,31,6.45
1980,U.S. defense budgeting and policy-making,4,31,12.9
1981,'Perestroika' Cold War security issues,14,52,26.92
1981,Anti-Ballistic missile defense,8,52,15.38
1981,Asia-Pacific region security issues,1,52,1.92
1981,Catholic church and deterrence,14,52,26.92
1981,India's nuclear security policy,1,52,1.92
1981,MENA region security issues,4,52,7.69
1981,Nuclear deterrence,6,52,11.54
1981,Transatlantic cooperation and NATO-Russia rivalry in Europe,1,52,1.92
1981,U.S. and maintaining of the World order,1,52,1.92
1981,U.S. defense budgeting and policy-making,1,52,1.92
1981,Unidentifiable,1,52,1.92
1982,'Perestroika' Cold War security issues,30,124,24.19
1982,Anti-Ballistic missile defense,17,124,13.71
1982,British nuclear security policy,3,124,2.42
1982,Catholic church and deterrence,40,124,32.26
1982,Non-Proliferation,1,124,0.81
1982,Nuclear deterrence,29,124,23.39
1982,U.S. Air Force,1,124,0.81
1982,U.S. and maintaining of the World order,2,124,1.61
1982,U.S. defense budgeting and policy-making,1,124,0.81
1983,'Perestroika' Cold War security issues,45,195,23.08
1983,Anti-Ballistic missile defense,28,195,14.36
1983,British nuclear security policy,1,195,0.51
1983,Catholic church and deterrence,77,195,39.49
1983,MENA region security issues,3,195,1.54
1983,Non-Proliferation,2,195,1.03
1983,Nuclear deterrence,36,195,18.46
1983,U.S. and maintaining of the World order,2,195,1.03
1983,Unidentifiable,1,195,0.51
1984,'Perestroika' Cold War security issues,31,119,26.05
1984,Anti-Ballistic missile defense,19,119,15.97
1984,British nuclear security policy,3,119,2.52
1984,Catholic church and deterrence,37,119,31.09
1984,MENA region security issues,1,119,0.84
1984,Non-Proliferation,2,119,1.68
1984,Nuclear deterrence,17,119,14.29
1984,U.S. and maintaining of the World order,7,119,5.88
1984,Unidentifiable,2,119,1.68
1985,'Perestroika' Cold War security issues,62,241,25.73
1985,Anti-Ballistic missile defense,72,241,29.88
1985,British nuclear security policy,6,241,2.49
1985,Catholic church and deterrence,61,241,25.31
1985,MENA region security issues,1,241,0.41
1985,Non-Proliferation,3,241,1.24
1985,Nuclear deterrence,25,241,10.37
1985,U.S. Nuclear weapon modernization and nuclear strategy,1,241,0.41
1985,U.S. and maintaining of the World order,9,241,3.73
1985,U.S. defense budgeting and policy-making,1,241,0.41
1986,'Perestroika' Cold War security issues,72,217,33.18
1986,Anti-Ballistic missile defense,44,217,20.28
1986,British nuclear security policy,4,217,1.84
1986,Catholic church and deterrence,49,217,22.58
1986,MENA region security issues,1,217,0.46
1986,Non-Proliferation,6,217,2.76
1986,Nuclear deterrence,36,217,16.59
1986,Transatlantic cooperation and NATO-Russia rivalry in Europe,1,217,0.46
1986,U.S. and maintaining of the World order,2,217,0.92
1986,U.S. defense budgeting and policy-making,1,217,0.46
1986,Unidentifiable,1,217,0.46
1987,'Perestroika' Cold War security issues,241,386,62.44
1987,Anti-Ballistic missile defense,35,386,9.07
1987,Asia-Pacific region security issues,1,386,0.26
1987,British nuclear security policy,16,386,4.15
1987,Catholic church and deterrence,43,386,11.14
1987,MENA region security issues,4,386,1.04
1987,Non-Proliferation,1,386,0.26
1987,Nuclear deterrence,23,386,5.96
1987,Transatlantic cooperation and NATO-Russia rivalry in Europe,4,386,1.04
1987,U.S. Air Force,1,386,0.26
1987,U.S. and maintaining of the World order,8,386,2.07
1987,U.S. defense budgeting and policy-making,6,386,1.55
1987,Unidentifiable,3,386,0.78
1988,'Perestroika' Cold War security issues,90,274,32.85
1988,Anti-Ballistic missile defense,57,274,20.8
1988,Asia-Pacific region security issues,1,274,0.36
1988,British nuclear security policy,13,274,4.74
1988,Catholic church and deterrence,64,274,23.36
1988,Korean Peninsula security/nuclear issues,1,274,0.36
1988,MENA region security issues,9,274,3.28
1988,Non-Proliferation,9,274,3.28
1988,Nuclear deterrence,17,274,6.2
1988,Transatlantic cooperation and NATO-Russia rivalry in Europe,3,274,1.09
1988,U.S. - Russia nuclear cooperation and competition,2,274,0.73
1988,U.S. Air Force,1,274,0.36
1988,U.S. and maintaining of the World order,1,274,0.36
1988,U.S. defense budgeting and policy-making,3,274,1.09
1988,Unidentifiable,3,274,1.09
1989,'Perestroika' Cold War security issues,147,288,51.04
1989,Anti-Ballistic missile defense,44,288,15.28
1989,British nuclear security policy,4,288,1.39
1989,Catholic church and deterrence,51,288,17.71
1989,India/Pakistani nuclear tensions,1,288,0.35
1989,MENA region security issues,3,288,1.04
1989,Nuclear deterrence,18,288,6.25
1989,U.S. - Russia nuclear cooperation and competition,1,288,0.35
1989,U.S. Nuclear weapon modernization and nuclear strategy,3,288,1.04
1989,U.S. and maintaining of the World order,12,288,4.17
1989,U.S. defense budgeting and policy-making,1,288,0.35
1989,Unidentifiable,3,288,1.04
1990,'Perestroika' Cold War security issues,35,141,24.82
1990,Anti-Ballistic missile defense,31,141,21.99
1990,British nuclear security policy,3,141,2.13
1990,Catholic church and deterrence,16,141,11.35
1990,India/Pakistani nuclear tensions,1,141,0.71
1990,Korean Peninsula security/nuclear issues,1,141,0.71
1990,MENA region security issues,16,141,11.35
1990,Non-Proliferation,7,141,4.96
1990,Nuclear deterrence,15,141,10.64
1990,Transatlantic cooperation and NATO-Russia rivalry in Europe,1,141,0.71
1990,U.S. Air Force,1,141,0.71
1990,U.S. and maintaining of the World order,6,141,4.26
1990,U.S. defense budgeting and policy-making,2,141,1.42
1990,Unidentifiable,6,141,4.26
1991,'Perestroika' Cold War security issues,29,163,17.79
1991,Anti-Ballistic missile defense,41,163,25.15
1991,Asia-Pacific region security issues,1,163,0.61
1991,British nuclear security policy,5,163,3.07
1991,Catholic church and deterrence,21,163,12.88
1991,India/Pakistani nuclear tensions,3,163,1.84
1991,MENA region security issues,14,163,8.59
1991,Non-Proliferation,2,163,1.23
1991,Nuclear deterrence,18,163,11.04
1991,Russian nuclear security policy,1,163,0.61
1991,Transatlantic cooperation and NATO-Russia rivalry in Europe,3,163,1.84
1991,U.S. Air Force,1,163,0.61
1991,U.S. and maintaining of the World order,10,163,6.13
1991,U.S. defense budgeting and policy-making,10,163,6.13
1991,Unidentifiable,4,163,2.45
1992,'Perestroika' Cold War security issues,14,137,10.22
1992,Anti-Ballistic missile defense,33,137,24.09
1992,Asia-Pacific region security issues,1,137,0.73
1992,British nuclear security policy,10,137,7.3
1992,Catholic church and deterrence,21,137,15.33
1992,MENA region security issues,6,137,4.38
1992,Non-Proliferation,7,137,5.11
1992,Nuclear deterrence,18,137,13.14
1992,Transatlantic cooperation and NATO-Russia rivalry in Europe,1,137,0.73
1992,U.S. - Russia nuclear cooperation and competition,2,137,1.46
1992,U.S. Air Force,2,137,1.46
1992,U.S. Nuclear weapon modernization and nuclear strategy,2,137,1.46
1992,U.S. and maintaining of the World order,11,137,8.03
1992,U.S. defense budgeting and policy-making,7,137,5.11
1992,Unidentifiable,2,137,1.46
1993,'Perestroika' Cold War security issues,5,137,3.65
1993,Anti-Ballistic missile defense,31,137,22.63
1993,Asia-Pacific region security issues,3,137,2.19
1993,British nuclear security policy,9,137,6.57
1993,Catholic church and deterrence,29,137,21.17
1993,Korean Peninsula security/nuclear issues,1,137,0.73
1993,MENA region security issues,11,137,8.03
1993,Non-Proliferation,4,137,2.92
1993,Nuclear deterrence,19,137,13.87
1993,Transatlantic cooperation and NATO-Russia rivalry in Europe,6,137,4.38
1993,U.S. - Russia nuclear cooperation and competition,2,137,1.46
1993,U.S. and maintaining of the World order,12,137,8.76
1993,U.S. defense budgeting and policy-making,3,137,2.19
1993,Unidentifiable,2,137,1.46
1994,'Perestroika' Cold War security issues,9,154,5.84
1994,Anti-Ballistic missile defense,11,154,7.14
1994,Asia-Pacific region security issues,2,154,1.3
1994,British nuclear security policy,5,154,3.25
1994,Catholic church and deterrence,38,154,24.68
1994,Cyber deterrence,1,154,0.65
1994,India/Pakistani nuclear tensions,1,154,0.65
1994,Korean Peninsula security/nuclear issues,5,154,3.25
1994,MENA region security issues,17,154,11.04
1994,Non-Proliferation,4,154,2.6
1994,Nuclear deterrence,26,154,16.88
1994,Transatlantic cooperation and NATO-Russia rivalry in Europe,10,154,6.49
1994,U.S. Air Force,1,154,0.65
1994,U.S. and maintaining of the World order,17,154,11.04
1994,U.S. defense budgeting and policy-making,4,154,2.6
1994,Unidentifiable,3,154,1.95
1995,'Perestroika' Cold War security issues,26,219,11.87
1995,Anti-Ballistic missile defense,16,219,7.31
1995,Asia-Pacific region security issues,2,219,0.91
1995,British nuclear security policy,19,219,8.68
1995,Catholic church and deterrence,38,219,17.35
1995,MENA region security issues,19,219,8.68
1995,Non-Proliferation,23,219,10.5
1995,Nuclear deterrence,42,219,19.18
1995,Russian nuclear security policy,1,219,0.46
1995,Transatlantic cooperation and NATO-Russia rivalry in Europe,9,219,4.11
1995,U.S. - Russia nuclear cooperation and competition,1,219,0.46
1995,U.S. Air Force,1,219,0.46
1995,U.S. and maintaining of the World order,9,219,4.11
1995,U.S. defense budgeting and policy-making,9,219,4.11
1995,Unidentifiable,4,219,1.83
1996,'Perestroika' Cold War security issues,13,227,5.73
1996,Anti-Ballistic missile defense,11,227,4.85
1996,Asia-Pacific region security issues,6,227,2.64
1996,British nuclear security policy,21,227,9.25
1996,Catholic church and deterrence,39,227,17.18
1996,India's nuclear security policy,1,227,0.44
1996,India/Pakistani nuclear tensions,3,227,1.32
1996,Korean Peninsula security/nuclear issues,4,227,1.76
1996,MENA region security issues,14,227,6.17
1996,Non-Proliferation,30,227,13.22
1996,Nuclear deterrence,42,227,18.5
1996,Russian nuclear security policy,4,227,1.76
1996,Transatlantic cooperation and NATO-Russia rivalry in Europe,6,227,2.64
1996,U.S. - Russia nuclear cooperation and competition,5,227,2.2
1996,U.S. Air Force,1,227,0.44
1996,U.S. Nuclear weapon modernization and nuclear strategy,2,227,0.88
1996,U.S. and maintaining of the World order,11,227,4.85
1996,U.S. defense budgeting and policy-making,9,227,3.96
1996,Unidentifiable,5,227,2.2
1997,'Perestroika' Cold War security issues,25,249,10.04
1997,Anti-Ballistic missile defense,18,249,7.23
1997,Asia-Pacific region security issues,9,249,3.61
1997,British nuclear security policy,19,249,7.63
1997,Catholic church and deterrence,44,249,17.67
1997,Cyber deterrence,2,249,0.8
1997,India/Pakistani nuclear tensions,6,249,2.41
1997,Korean Peninsula security/nuclear issues,4,249,1.61
1997,MENA region security issues,8,249,3.21
1997,Non-Proliferation,12,249,4.82
1997,Nuclear deterrence,28,249,11.24
1997,Russian nuclear security policy,2,249,0.8
1997,Transatlantic cooperation and NATO-Russia rivalry in Europe,14,249,5.62
1997,U.S. - Russia nuclear cooperation and competition,4,249,1.61
1997,U.S. Air Force,3,249,1.2
1997,U.S. Nuclear weapon modernization and nuclear strategy,4,249,1.61
1997,U.S. and maintaining of the World order,19,249,7.63
1997,U.S. defense budgeting and policy-making,22,249,8.84
1997,Unidentifiable,6,249,2.41
1998,'Perestroika' Cold War security issues,9,472,1.91
1998,Anti-Ballistic missile defense,23,472,4.87
1998,Asia-Pacific region security issues,8,472,1.69
1998,British nuclear security policy,37,472,7.84
1998,Catholic church and deterrence,50,472,10.59
1998,Cyber deterrence,1,472,0.21
1998,India's nuclear security policy,6,472,1.27
1998,India/Pakistani nuclear tensions,84,472,17.8
1998,Korean Peninsula security/nuclear issues,1,472,0.21
1998,MENA region security issues,31,472,6.57
1998,Non-Proliferation,42,472,8.9
1998,Nuclear deterrence,74,472,15.68
1998,Russian nuclear security policy,5,472,1.06
1998,Transatlantic cooperation and NATO-Russia rivalry in Europe,8,472,1.69
1998,U.S. - Russia nuclear cooperation and competition,16,472,3.39
1998,U.S. Air Force,5,472,1.06
1998,U.S. Nuclear weapon modernization and nuclear strategy,6,472,1.27
1998,U.S. and maintaining of the World order,31,472,6.57
1998,U.S. defense budgeting and policy-making,27,472,5.72
1998,Unidentifiable,8,472,1.69
1999,'Perestroika' Cold War security issues,8,499,1.6
1999,Anti-Ballistic missile defense,58,499,11.62
1999,Asia-Pacific region security issues,17,499,3.41
1999,British nuclear security policy,23,499,4.61
1999,Catholic church and deterrence,55,499,11.02
1999,Cyber deterrence,1,499,0.2
1999,India's nuclear security policy,7,499,1.4
1999,India/Pakistani nuclear tensions,97,499,19.44
1999,Korean Peninsula security/nuclear issues,6,499,1.2
1999,MENA region security issues,19,499,3.81
1999,Non-Proliferation,32,499,6.41
1999,Nuclear deterrence,43,499,8.62
1999,Russian nuclear security policy,17,499,3.41
1999,Transatlantic cooperation and NATO-Russia rivalry in Europe,18,499,3.61
1999,U.S. - Russia nuclear cooperation and competition,32,499,6.41
1999,U.S. Air Force,2,499,0.4
1999,U.S. Nuclear weapon modernization and nuclear strategy,3,499,0.6
1999,U.S. and maintaining of the World order,25,499,5.01
1999,U.S. defense budgeting and policy-making,21,499,4.21
1999,Unidentifiable,15,499,3.01
2000,'Perestroika' Cold War security issues,6,542,1.11
2000,Anti-Ballistic missile defense,127,542,23.43
2000,Asia-Pacific region security issues,19,542,3.51
2000,British nuclear security policy,24,542,4.43
2000,Catholic church and deterrence,73,542,13.47
2000,India's nuclear security policy,4,542,0.74
2000,India/Pakistani nuclear tensions,46,542,8.49
2000,Korean Peninsula security/nuclear issues,6,542,1.11
2000,MENA region security issues,21,542,3.87
2000,Non-Proliferation,38,542,7.01
2000,Nuclear deterrence,29,542,5.35
2000,Russian nuclear security policy,14,542,2.58
2000,Transatlantic cooperation and NATO-Russia rivalry in Europe,11,542,2.03
2000,U.S. - Russia nuclear cooperation and competition,52,542,9.59
2000,U.S. Air Force,4,542,0.74
2000,U.S. Nuclear weapon modernization and nuclear strategy,6,542,1.11
2000,U.S. and maintaining of the World order,34,542,6.27
2000,U.S. defense budgeting and policy-making,16,542,2.95
2000,Unidentifiable,12,542,2.21
2001,'Perestroika' Cold War security issues,8,490,1.63
2001,Anti-Ballistic missile defense,151,490,30.82
2001,Asia-Pacific region security issues,20,490,4.08
2001,British nuclear security policy,21,490,4.29
2001,Catholic church and deterrence,56,490,11.43
2001,Cyber deterrence,2,490,0.41
2001,India's nuclear security policy,8,490,1.63
2001,India/Pakistani nuclear tensions,24,490,4.9
2001,Korean Peninsula security/nuclear issues,2,490,0.41
2001,MENA region security issues,19,490,3.88
2001,Non-Proliferation,13,490,2.65
2001,Nuclear deterrence,37,490,7.55
2001,Russian nuclear security policy,7,490,1.43
2001,Transatlantic cooperation and NATO-Russia rivalry in Europe,11,490,2.24
2001,U.S. - Russia nuclear cooperation and competition,29,490,5.92
2001,U.S. Air Force,5,490,1.02
2001,U.S. Nuclear weapon modernization and nuclear strategy,9,490,1.84
2001,U.S. and maintaining of the World order,27,490,5.51
2001,U.S. defense budgeting and policy-making,19,490,3.88
2001,Unidentifiable,22,490,4.49
2002,'Perestroika' Cold War security issues,1,428,0.23
